metric,case_count,hosptialized,deaths,date
Female,"3,605",282,111,4/25/2020
Male,"2,949",401,104,4/25/2020
0-9,78,0,0,4/25/2020
10-19,235,0,0,4/25/2020
20-29,903,25,<5,4/25/2020
30-39,1022,34,<5,4/25/2020
40-49,1046,86,<5,4/25/2020
50-59,"1,205",125,12,4/25/2020
60-69,882,155,26,4/25/2020
70-79,541,130,55,4/25/2020
80-89,442,84,70,4/25/2020
90-99,284,45,43,4/25/2020
100+,19,<5,<5,4/25/2020
Hispanic/Latinx (any race),"1,714",159,25,4/25/2020
Black (non-Hispanic or ethnicity unknown),507,62,14,4/25/2020
White (non-Hispanic or ethnicity unknown),"1,528",232,155,4/25/2020
Other (non-Hispanic or ethnicity unknown),163,18,<5,4/25/2020
Multiple races (non-Hispanic or ethnicity unknown),13,0,0,4/25/2020
Female,"3,790",290,118,4/26/2020
Male,"3,091",415,108,4/26/2020
0-9,87,0,0,4/26/2020
10-19,259,0,0,4/26/2020
20-29,961,26,<5,4/26/2020
30-39,1076,35,<5,4/26/2020
40-49,1089,87,<5,4/26/2020
50-59,"1,257",129,13,4/26/2020
60-69,912,159,26,4/26/2020
70-79,571,135,59,4/26/2020
80-89,464,89,71,4/26/2020
90-99,294,46,48,4/26/2020
100+,22,<5,<5,4/26/2020
Hispanic/Latinx (any race),"1,761",164,25,4/25/2020
Black (non-Hispanic or ethnicity unknown),521,63,14,4/26/2020
White (non-Hispanic or ethnicity unknown),"1,571",239,161,4/26/2020
Other (non-Hispanic or ethnicity unknown),166,18,<5,4/26/2020
Multiple races (non-Hispanic or ethnicity unknown),16,0,0,4/26/2020
Female,"3,978",294,121,2020-04-27
Male,"3,225",429,112,2020-04-27
0-9,101,0,0,2020-04-27
10-19,283,0,0,2020-04-27
20-29,"1,006",26,<5,2020-04-27
30-39,"1,134",38,<5,2020-04-27
40-49,"1,146",89,<5,2020-04-27
50-59,"1,305",133,14,2020-04-27
60-69,939,161,27,2020-04-27
70-79,594,137,60,2020-04-27
80-89,478,93,72,2020-04-27
90-99,310,47,51,2020-04-27
100+,24,<5,<5,2020-04-27
Hispanic/Latinx (any race),"1,904",168,25,2020-04-27
Black (non-Hispanic or ethnicity unknown),577,67,14,2020-04-27
White (non-Hispanic or ethnicity unknown),"1,678",248,167,2020-04-27
Other (non-Hispanic or ethnicity unknown),181,20,<5,2020-04-27
Multiple races (non-Hispanic or ethnicity unknown),16,0,0,2020-04-27
Female,"4,034",302,122,2020-04-28
Male,"3,276",438,117,2020-04-28
0-9,107,0,0,2020-04-28
10-19,286,0,0,2020-04-28
20-29,"1,020",26,<5,2020-04-28
30-39,"1,148",40,<5,2020-04-28
40-49,"1,160",90,<5,2020-04-28
50-59,"1,324",136,15,2020-04-28
60-69,950,163,28,2020-04-28
70-79,609,145,62,2020-04-28
80-89,486,95,73,2020-04-28
90-99,315,47,52,2020-04-28
100+,24,<5,<5,2020-04-28
Hispanic/Latinx (any race),"1,963",173,25,2020-04-28
Black (non-Hispanic or ethnicity unknown),605,69,14,2020-04-28
White (non-Hispanic or ethnicity unknown),"1,799",259,171,2020-04-28
Other (non-Hispanic or ethnicity unknown),191,21,<5,2020-04-28
Multiple races (non-Hispanic or ethnicity unknown),20,<5,0,2020-04-28
Female,"4,034",302,122,2020-04-29
Male,"3,276",438,117,2020-04-29
0-9,107,0,0,2020-04-29
10-19,286,0,0,2020-04-29
20-29,"1,020",26,<5,2020-04-29
30-39,"1,148",40,<5,2020-04-29
40-49,"1,160",90,<5,2020-04-29
50-59,"1,324",136,15,2020-04-29
60-69,950,163,28,2020-04-29
70-79,609,145,62,2020-04-29
80-89,486,95,73,2020-04-29
90-99,315,47,52,2020-04-29
100+,24,<5,<5,2020-04-29
Hispanic/Latinx (any race),"1,963",173,25,2020-04-29
Black (non-Hispanic or ethnicity unknown),605,69,14,2020-04-29
White (non-Hispanic or ethnicity unknown),"1,799",259,171,2020-04-29
Other (non-Hispanic or ethnicity unknown),191,21,<5,2020-04-29
Multiple races (non-Hispanic or ethnicity unknown),20,<5,0,2020-04-29
