school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
AF Providence Mayoral Academy Middle,Achievement First Rhode Island,0,0,0,Fewer than five,in person,2021-01-13
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Achievement First Promesa Elementary,Achievement First Rhode Island,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,0,10 to 14,0,Fewer than five,in person,2021-01-13
Barrington High School,Barrington,0,15 to 19,0,5 to 9,in person,2021-01-13
Barrington Middle School,Barrington,0,25 to 29,Fewer than five,5 to 9,in person,2021-01-13
Hampden Meadows School,Barrington,Fewer than five,10 to 14,0,5 to 9,in person,2021-01-13
Nayatt School,Barrington,Fewer than five,10 to 14,0,5 to 9,in person,2021-01-13
Primrose Hill School,Barrington,0,5 to 9,Fewer than five,5 to 9,in person,2021-01-13
Sowams Elementary School,Barrington,0,Fewer than five,0,0,in person,2021-01-13
BEACON Charter School,Beacon Charter School,0,Fewer than five,0,Fewer than five,in person,2021-01-13
Blackstone Academy Charter School,Blackstone Academy,0,Fewer than five,0,0,in person,2021-01-13
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-01-13
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-01-13
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",0,5 to 9,0,Fewer than five,in person,2021-01-13
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-01-13
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-01-13
Colt Andrews School,Bristol Warren,0,5 to 9,0,Fewer than five,in person,2021-01-13
Guiteras School,Bristol Warren,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Hugh Cole School,Bristol Warren,0,10 to 14,Fewer than five,10 to 14,in person,2021-01-13
Kickemuit Middle School,Bristol Warren,Fewer than five,25 to 29,0,Fewer than five,in person,2021-01-13
Mt. Hope High School,Bristol Warren,Fewer than five,25 to 29,Fewer than five,10 to 14,in person,2021-01-13
Rockwell School,Bristol Warren,0,5 to 9,Fewer than five,Fewer than five,in person,2021-01-13
Austin T. Levy School,Burrillville,0,5 to 9,0,0,in person,2021-01-13
Burrillville High School,Burrillville,Fewer than five,20 to 24,0,Fewer than five,in person,2021-01-13
Burrillville Middle School,Burrillville,0,5 to 9,Fewer than five,5 to 9,in person,2021-01-13
