city_town,county,count,change,change_%,rate_per_10k,date
Barrington,Bristol,0,0,0.0,0.0,3/25/2020
Warren,Bristol,0,0,0.0,0.0,3/25/2020
Tiverton,Newport,0,0,0.0,0.0,3/25/2020
South Kingstown,Washington,7,0,0.0,2.2792393852565773,3/25/2020
Coventry,Kent,0,0,0.0,0.0,3/25/2020
Smithfield,Providence,0,0,0.0,0.0,3/25/2020
Scituate,Providence,0,0,0.0,0.0,3/25/2020
Cranston,Providence,11,0,0.0,1.3583768631373567,3/25/2020
Richmond,Washington,0,0,0.0,0.0,3/25/2020
Cumberland,Providence,0,0,0.0,0.0,3/25/2020
Portsmouth,Newport,0,0,0.0,0.0,3/25/2020
Pawtucket,Providence,5,0,0.0,0.6966699177929497,3/25/2020
East Providence,Providence,8,0,0.0,1.6868740115972587,3/25/2020
Central Falls,Providence,0,0,0.0,0.0,3/25/2020
North Smithfield,Providence,0,0,0.0,0.0,3/25/2020
North Kingstown,Washington,0,0,0.0,0.0,3/25/2020
Exeter,Washington,0,0,0.0,0.0,3/25/2020
Newport,Newport,0,0,0.0,0.0,3/25/2020
New Shoreham,Washington,0,0,0.0,0.0,3/25/2020
Foster,Providence,0,0,0.0,0.0,3/25/2020
Narragansett,Washington,0,0,0.0,0.0,3/25/2020
Middletown,Newport,5,0,0.0,3.1055900621118013,3/25/2020
Glocester,Providence,0,0,0.0,0.0,3/25/2020
Little Compton,Newport,0,0,0.0,0.0,3/25/2020
Lincoln,Providence,0,0,0.0,0.0,3/25/2020
Johnston,Providence,0,0,0.0,0.0,3/25/2020
Hopkinton,Washington,0,0,0.0,0.0,3/25/2020
North Providence,Providence,0,0,0.0,0.0,3/25/2020
Warwick,Kent,7,0,0.0,0.8618779088379424,3/25/2020
Providence,Providence,42,0,0.0,2.3397155574372315,3/25/2020
Jamestown,Newport,0,0,0.0,0.0,3/25/2020
West Greenwich,Kent,0,0,0.0,0.0,3/25/2020
Bristol,Bristol,0,0,0.0,0.0,3/25/2020
Woonsocket,Providence,0,0,0.0,0.0,3/25/2020
Westerly,Washington,0,0,0.0,0.0,3/25/2020
Burrillville,Providence,0,0,0.0,0.0,3/25/2020
West Warwick,Kent,0,0,0.0,0.0,3/25/2020
Middletown,Newport,6,1,0.19999999999999996,3.7267080745341614,3/26/2020
Bristol,Bristol,0,0,0.0,0.0,3/26/2020
Cranston,Providence,18,7,0.6363636363636365,2.2227985033156745,3/26/2020
Narragansett,Washington,0,0,0.0,0.0,3/26/2020
Richmond,Washington,0,0,0.0,0.0,3/26/2020
Foster,Providence,0,0,0.0,0.0,3/26/2020
Providence,Providence,51,9,0.2142857142857142,2.8410831768880667,3/26/2020
Jamestown,Newport,0,0,0.0,0.0,3/26/2020
Cumberland,Providence,5,5,0.0,1.4493593831526466,3/26/2020
New Shoreham,Washington,0,0,0.0,0.0,3/26/2020
Portsmouth,Newport,0,0,0.0,0.0,3/26/2020
Newport,Newport,5,5,0.0,2.0206102242877346,3/26/2020
Pawtucket,Providence,7,2,0.3999999999999999,0.9753378849101296,3/26/2020
Westerly,Washington,0,0,0.0,0.0,3/26/2020
North Smithfield,Providence,0,0,0.0,0.0,3/26/2020
Exeter,Washington,0,0,0.0,0.0,3/26/2020
East Providence,Providence,9,1,0.125,1.8977332630469161,3/26/2020
North Kingstown,Washington,0,0,0.0,0.0,3/26/2020
Woonsocket,Providence,0,0,0.0,0.0,3/26/2020
Scituate,Providence,0,0,0.0,0.0,3/26/2020
West Warwick,Kent,0,0,0.0,0.0,3/26/2020
North Providence,Providence,0,0,0.0,0.0,3/26/2020
Johnston,Providence,6,6,0.0,2.057683734010083,3/26/2020
Tiverton,Newport,0,0,0.0,0.0,3/26/2020
Central Falls,Providence,0,0,0.0,0.0,3/26/2020
Burrillville,Providence,0,0,0.0,0.0,3/26/2020
Lincoln,Providence,0,0,0.0,0.0,3/26/2020
South Kingstown,Washington,7,0,0.0,2.2792393852565773,3/26/2020
Hopkinton,Washington,0,0,0.0,0.0,3/26/2020
Warren,Bristol,0,0,0.0,0.0,3/26/2020
West Greenwich,Kent,0,0,0.0,0.0,3/26/2020
Warwick,Kent,8,1,0.1428571428571428,0.9850033243862198,3/26/2020
Glocester,Providence,0,0,0.0,0.0,3/26/2020
Smithfield,Providence,0,0,0.0,0.0,3/26/2020
Little Compton,Newport,0,0,0.0,0.0,3/26/2020
Coventry,Kent,0,0,0.0,0.0,3/26/2020
Barrington,Bristol,0,0,0.0,0.0,3/26/2020
Hopkinton,Washington,0,0,0.0,0.0,3/27/2020
Jamestown,Newport,0,0,0.0,0.0,3/27/2020
Exeter,Washington,0,0,0.0,0.0,3/27/2020
Newport,Newport,5,0,0.0,2.0206102242877346,3/27/2020
North Kingstown,Washington,8,8,0.0,3.0560012224004893,3/27/2020
Little Compton,Newport,0,0,0.0,0.0,3/27/2020
Charlestown,Washington,0,0,0.0,0.0,3/27/2020
Johnston,Providence,5,-1,-0.16666666666666663,1.7147364450084024,3/27/2020
Narragansett,Washington,0,0,0.0,0.0,3/27/2020
Lincoln,Providence,0,0,0.0,0.0,3/27/2020
Woonsocket,Providence,0,0,0.0,0.0,3/27/2020
Foster,Providence,0,0,0.0,0.0,3/27/2020
East Greenwich,Kent,0,0,0.0,0.0,3/27/2020
Glocester,Providence,0,0,0.0,0.0,3/27/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,3/27/2020
