school,lea,type,new_student_cases_low,new_student_cases_high,new_student_cases_avg,total_student_cases_low,total_student_cases_high,total_student_cases_avg,new_staff_cases_low,new_staff_cases_high,new_staff_cases_avg,total_staff_cases_low,total_staff_cases_high,total_staff_cases_avg,date
AF Providence Mayoral Academy Middle,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Achievement First Promesa Elementary,Achievement First Rhode Island,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Barrington High School,Barrington,in person,0,0,0.0,15,19,17.0,0,0,0.0,5,9,7.0,2021-01-13
Barrington Middle School,Barrington,in person,0,0,0.0,25,29,27.0,0,0,0.0,5,9,7.0,2021-01-13
Hampden Meadows School,Barrington,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Nayatt School,Barrington,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Primrose Hill School,Barrington,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Sowams Elementary School,Barrington,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
BEACON Charter School,Beacon Charter School,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Academy Charter School,Blackstone Academy,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Colt Andrews School,Bristol Warren,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Guiteras School,Bristol Warren,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Hugh Cole School,Bristol Warren,in person,0,0,0.0,10,14,12.0,0,0,0.0,10,14,12.0,2021-01-13
Kickemuit Middle School,Bristol Warren,in person,0,0,0.0,25,29,27.0,0,0,0.0,0,0,0.0,2021-01-13
Mt. Hope High School,Bristol Warren,in person,0,0,0.0,25,29,27.0,0,0,0.0,10,14,12.0,2021-01-13
Rockwell School,Bristol Warren,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Austin T. Levy School,Burrillville,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Burrillville High School,Burrillville,in person,0,0,0.0,20,24,22.0,0,0,0.0,0,0,0.0,2021-01-13
Burrillville Middle School,Burrillville,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Steere Farm Elementary School,Burrillville,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
William L. Callahan School,Burrillville,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
All Saints Academy,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Bishop Connolly High School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Bishop Hendricken High School,Catholic Schools,in person,0,0,0.0,35,39,37.0,0,0,0.0,5,9,7.0,2021-01-13
Bishop McVinney Regional School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Blessed Sacrament School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Father John V. Doyle School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Good Shepherd Catholic Regional School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Holy Trinity School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Immaculate Conception Catholic Regional,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
La Salle Academy,Catholic Schools,in person,0,0,0.0,55,59,57.0,0,0,0.0,5,9,7.0,2021-01-13
Mercymount Country Day School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Mount St. Charles Academy,Catholic Schools,in person,0,0,0.0,25,29,27.0,0,0,0.0,5,9,7.0,2021-01-13
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Our Lady of Mercy Regional School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Our Lady of Mt. Carmel,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Sacred Heart School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
St. Augustine School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
St. Cecilia School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
St. Joseph School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Kevin School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
St. Luke School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
St. Margaret School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
St. Mary Academy-Bay View,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
St. Mary School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
St. Patrick School,Catholic Schools,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
St. Paul School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
St. Peter School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Philip School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
St. Philomena School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Pius V School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Raphael Academy,Catholic Schools,in person,0,0,0.0,15,19,17.0,0,0,0.0,0,0,0.0,2021-01-13
St. Rocco School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Rose of Lima School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Teresa School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
St. Thomas Regional School,Catholic Schools,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
The Prout School,Catholic Schools,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Captain G. Harold Hunt Elementary School,Central Falls,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Central Falls Senior High School,Central Falls,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Dr. Earl F. Calcutt Middle School,Central Falls,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Ella Risk School,Central Falls,in person,0,0,0.0,5,9,7.0,0,0,0.0,5,9,7.0,2021-01-13
Progreso Latino Excellence Academy,Central Falls,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Raices Dual Language Academy at Margaret I. Robertson School,Central Falls,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Veterans Memorial Elementary,Central Falls,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Charette Charter School,Charette Charter,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Ashaway Elementary School,Chariho,in person,0,0,0.0,0,0,0.0,0,0,0.0,5,9,7.0,2021-01-13
Chariho Alternative Learning Academy,Chariho,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Chariho Regional High School,Chariho,in person,0,0,0.0,20,24,22.0,0,0,0.0,5,9,7.0,2021-01-13
Chariho Regional Middle School,Chariho,in person,0,0,0.0,25,29,27.0,0,0,0.0,10,14,12.0,2021-01-13
Charlestown Elementary School,Chariho,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Hope Valley Elementary School,Chariho,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Hope Valley Elementary School Annex,Chariho,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Richmond Elementary School,Chariho,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Alan Shawn Feinstein Middle School Of Coventry,Coventry,in person,0,0,0.0,20,24,22.0,0,0,0.0,5,9,7.0,2021-01-13
Blackrock School,Coventry,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
Coventry High School,Coventry,in person,0,0,0.0,35,39,37.0,0,0,0.0,5,9,7.0,2021-01-13
Hopkins Hill School,Coventry,in person,0,0,0.0,5,9,7.0,0,0,0.0,0,0,0.0,2021-01-13
The Regional Career and Technical Center at Coventry HS,Coventry,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
Tiogue School,Coventry,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Washington Oak School,Coventry,in person,0,0,0.0,10,14,12.0,0,0,0.0,5,9,7.0,2021-01-13
Western Coventry School,Coventry,in person,0,0,0.0,10,14,12.0,0,0,0.0,0,0,0.0,2021-01-13
Alternative Education Program,Cranston,in person,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2021-01-13
